지점명	address	distance	address2	num_review	지점명2
스타벅스 대구평리DT점	평리동 1407-7	0.9021825273116216	대구광역시 서구 서대구로3길 43	34972	감삼못공원
스타벅스 대구평리DT점	평리동 1407-7	1.112808975415624	대구광역시 서구 평리로35길 28-10	4347	중리동 곱창골목
스타벅스 대구황금DT점	지산동 941	0.8649136338206964	대구광역시 수성구 들안로 109-1	20860	들안길먹거리타운
스타벅스 대구황금DT점	지산동 941	1.3299653104336309	대구광역시 수성구 청호로46길 5-3	2315	덕산서원(대구)
스타벅스 대구황금DT점	지산동 941	1.3761458540746534	대구광역시 수성구 청호로 250-11	2879	청호서원
스타벅스 대전IC DT점	비래동 555-15	0.5033779933557542	대전광역시 대덕구 비래동	16659	옥류각
스타벅스 대전IC DT점	비래동 555-15	0.9464908235454	대전광역시 대덕구 송촌로79번길 16	16725	이시직공정려각
스타벅스 대전IC DT점	비래동 555-15	1.0129908815094617	대전광역시 동구 우암로326번길 28	17225	박팽년선생유허비
스타벅스 대전가수원DT점	가수원동 655-20 스타벅스	0.3962662430604728	대전광역시 서구 가수원로 71-12	17793	용화사(대전)
스타벅스 대전가수원DT점	가수원동 655-20 스타벅스	2.322300839226496	대전광역시 서구 상보안윗길 160	38888	구봉산(대전)
스타벅스 대전가수원DT점	가수원동 655-20 스타벅스	2.3370544959687423	대전광역시 서구 배재로197번길 200	27676	내원사(대전)
스타벅스 대전대사DT점	대사동 248-296	0.8163444463378183	대전광역시 중구 대흥동	10299	대흥동 문화예술의거리
스타벅스 대전대사DT점	대사동 248-296	0.9329771985908064	대전광역시 중구 보문산공원로 446	55457	보문산공원
스타벅스 대전대사DT점	대사동 248-296	1.4583433430736712	대전광역시 중구 중앙로164번길 17	7003	스카이로드
스타벅스 대전도안DT점	봉명동 555-3	0.5221823567043407	대전광역시 유성구 봉명동	82328	유성온천지구
스타벅스 대전도안DT점	봉명동 555-3	1.5935010786493855	대전광역시 서구 월평동	2037	월평, 신탄진, 송촌 정수장(물사랑학교)
스타벅스 대전도안DT점	봉명동 555-3	1.926638311183352	대전광역시 유성구 대학로	18258	갑천
스타벅스 대전수침교DT점	용문동 250-3	2.9218700806732367	대전광역시 중구 중앙로164번길 17	7003	스카이로드
스타벅스 대전수침교DT점	용문동 250-3	2.9324095430810915	대전광역시 중구 대흥동	10299	대흥동 문화예술의거리
스타벅스 대전수침교DT점	용문동 250-3	2.938329082268473	대전광역시 동구 대전로839번길 일대	20460	인쇄거리
스타벅스 대전신탄진DT점	석봉동 309-10	2.6009261047700982	대전광역시 대덕구 신탄진로756번안길 223	2127	It's 수 홍보관
스타벅스 대전신탄진DT점	석봉동 309-10	2.6911779018853776	대전광역시 대덕구 벚꽃길 150	350	대전차량융합기술단(신탄진역)
스타벅스 대전신탄진DT점	석봉동 309-10	5.03956761431699	대전광역시 대덕구 미호동	0	왕버드나무군락지
스타벅스 대전유천DT점	유천동 185-3	2.2698569872648418	대전광역시 중구 보문산공원로 446	55457	보문산공원
스타벅스 대전유천DT점	유천동 185-3	2.483302754195294	대전광역시 중구 대흥동	10299	대흥동 문화예술의거리
스타벅스 대전유천DT점	유천동 185-3	2.932389702702774	대전광역시 중구 중앙로164번길 17	7003	스카이로드
스타벅스 대전터미널DT점	성남동 502-2	1.4894811885120482	대전광역시 동구 소제동	0	철도관사촌(솔랑시울길)
스타벅스 대전터미널DT점	성남동 502-2	1.6258561469571264	대전광역시 대덕구 비래동	16659	옥류각
스타벅스 대전터미널DT점	성남동 502-2	1.6340673654700684	대전광역시 대덕구 송촌로79번길 16	16725	이시직공정려각
스타벅스 대전판암DT점	판암동 450	1.034079457932928	대전광역시 동구 동부로73번길 44	16777	문충사
스타벅스 대전판암DT점	판암동 450	1.103946695805709	대전광역시 동구 대전로 592-20	26721	심광사(대전)
스타벅스 대전판암DT점	판암동 450	1.438953808846859	대전광역시 중구 봉소루로 29	16875	봉소루
스타벅스 대전한남대DT점	중리동 231-10	1.1094474291105323	대전광역시 대덕구 계족산로17번길 60	17357	송애당
스타벅스 대전한남대DT점	중리동 231-10	1.1795939666442596	대전광역시 대덕구 쌍청당로 17	18062	쌍청당
스타벅스 대전한남대DT점	중리동 231-10	1.3679383405894343	대전광역시 대덕구 동춘당로 178	16696	법동 석장승
스타벅스 동대구로DT점	신천동 300-2	0.4219791450353669	대구광역시 동구 동대구로 461	3325	대구경북디자인센터
스타벅스 동대구로DT점	신천동 300-2	0.9909143834045994	대구광역시 동구 효신로 88	2263	바운스 트램폴린파크(대구신세계점)
스타벅스 동대구로DT점	신천동 300-2	1.2697803798955405	대구광역시 수성구 달구벌대로492길 15	0	물레책방
스타벅스 동두천DT점	지행동 475-1	1.6361289953573876	경기도 동두천시 탑동가산로 1	0	동두천자연휴양림
스타벅스 동두천DT점	지행동 475-1	1.6361289953573876	경기도 동두천시	7724	동두천 관광특구
스타벅스 동두천DT점	지행동 475-1	2.2244502364836327	경기도 동두천시 장고갯로 161-35	29154	소요산탑유황온천
스타벅스 동래미남DT점	온천동 1428-36	1.1025009147208231	부산광역시 동래구 동래로 103	24081	동래향교
스타벅스 동래미남DT점	온천동 1428-36	1.4611991219219396	부산광역시 동래구 우장춘로 155	40619	금강공원
스타벅스 동래미남DT점	온천동 1428-36	1.5054663737462692	부산광역시 동래구 동래로 162	26586	법륜사(부산)
