지점명	mac_name	distance
스타벅스 익산영등DT점	맥도날드 익산영등DT점	0.3861911458738417
스타벅스 인천간석DT점	맥도날드 구월DT점	2.201202794511598
스타벅스 인천갈산DT점	맥도날드 인천삼산DT점	0.10791540538180773
스타벅스 인천강화DT점	맥도날드 김포장기DT점	19.180204226658763
스타벅스 인천당하DT점	맥도날드 김포감정DT점	3.9049716595551
스타벅스 인천동춘DT점	맥도날드 인천옥련DT점	1.6686315088988275
스타벅스 인천서구청DT점	맥도날드 연희DT	0.1289189163493825
스타벅스 인천송도DT점	맥도날드 송도GS DT점	2.4155083597247065
스타벅스 인천용현DT점	맥도날드 신흥DT점	0.5390491597860326
스타벅스 인천학익DT점	맥도날드 문학DT점	1.2735502588320011
스타벅스 일산덕이DT점	맥도날드 중산DT점	2.1985452914030548
스타벅스 일산애니골DT점	맥도날드 중산DT점	1.5662960196078037
스타벅스 일산풍동DT점	맥도날드 고양풍동DT점	1.7552425676245045
스타벅스 전남광양DT점	맥도날드 순천조례DT점	15.538136089421014
스타벅스 전북대병원DT점	맥도날드 전주인후DT점	0.7510041269047428
스타벅스 전북정읍DT점	맥도날드 전북정읍DT점	0.3826257882638498
스타벅스 전주덕진광장DT점	맥도날드 전주덕진DT점	0.14852131240727728
스타벅스 전주백제대로DT점	맥도날드 전주효자DT점	1.4294076643593183
스타벅스 전주송천DT점	맥도날드 전주송천DT	0.27292107228205525
스타벅스 전주평화DT점	맥도날드 전주평화DT점	0.6225428233920012
스타벅스 전주효자DT점	맥도날드 전주효자DT점	0.07391518490898699
스타벅스 제주도남DT점	맥도날드 제주시청DT점	1.649109719516867
스타벅스 제주삼화DT점	맥도날드 제주일도DT	3.9482310283446265
스타벅스 제주성산DT점	맥도날드 제주시청DT점	34.486777373611886
스타벅스 제주애월DT점	맥도날드 제주공항DT점	13.609994716190936
스타벅스 제주외도DT점	맥도날드 제주공항DT점	6.101765833876293
스타벅스 제주용담DT점	맥도날드 제주공항DT점	2.0507951241903783
스타벅스 제주중문DT점	맥도날드 제주월드컵스타디움DT점	1.8481090529378288
스타벅스 제천DT점	맥도날드 제천DT점	0.21510796080515235
스타벅스 종암DT점	맥도날드 서울번동DT점	3.340084156576828
스타벅스 진주칠암DT점	맥도날드 진주칠암DT점	0.08448609463792091
스타벅스 진해자은DT점	맥도날드 진해자은DT	3.8856140375952393
스타벅스 창원역DT점	맥도날드 창원역DT점	0.16565559182260273
스타벅스 창원호계DT점	맥도날드 창원내서DT	1.822966356878404
스타벅스 천안IC DT점	맥도날드 천안원성DT점	1.09343814204893
스타벅스 천안두정역DT점	맥도날드 천안두정DT점	1.7548234459012968
